Symbol,Chart Pattern,BullishBearish,Start,End,Industry
AXP,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Financial Services
AMWD,"Double Bottom, Adam and Adam",1,03/19/2020,03/23/2020,Building Materials
APOG,"Double Bottom, Adam and Adam",1,03/19/2020,03/23/2020,Building Materials
AWI,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Building Materials
ASNA,Pennant,1,03/12/2020,03/24/2020,Apparel
ASH,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Chemical (Basic)
AGO,"Flag, high and tight",1,03/18/2020,03/26/2020,Insurance (Life)
BSET,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Furn/Home Furnishings
BA,"Flag, high and tight",1,03/19/2020,03/26/2020,Aerospace/Defense
CAL,"Flag, high and tight",1,03/18/2020,03/26/2020,Shoe
CONN,"Flag, high and tight",1,03/18/2020,03/26/2020,Retail (Special Lines)
COTY,"Flag, high and tight",1,03/18/2020,03/26/2020,Toiletries/Cosmetics
CROX,"Flag, high and tight",1,03/18/2020,03/26/2020,Shoe
EIX,"Double Bottom, Adam and Adam",1,03/16/2020,03/23/2020,Electric Utility (West)
EMR,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Computers and Peripherals
EXC,"Double Bottom, Adam and Adam",1,03/17/2020,03/23/2020,Electric Utility (East)
GE,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Diversified Co.
HSC,"Flag, high and tight",1,03/18/2020,03/26/2020,Diversified Co.
HSIC,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Medical Supplies
HSY,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Food Processing
HOV,"Flag, high and tight",1,03/18/2020,03/26/2020,Homebuilding
IVC,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Medical Supplies
NVTA,"Flag, high and tight",1,03/19/2020,03/26/2020,Medical Services
KBH,"Flag, high and tight",1,03/19/2020,03/26/2020,Homebuilding
LAMR,"Flag, high and tight",1,03/23/2020,03/26/2020,Advertising
